nb | times over 101 trials    || sorted by mean
   |   mean   |     std       || rank | mean time
---+----------+---------------++----+-------------
0  |  1,45243 | 0,00254431    ||  19  | 10,3022
1  |  1,44999 | 0,000198012   ||  8   |  7,20971
2  |  1,57168 | 0,0129673     ||  36  |  3,94201
3  |  1,75741 | 4,07965e-05   ||  35  |  3,580486
4  |  2,17965 | 0,000363189   ||  18  |  2,618014
5  |  1,67916 | 0,00608565    ||  24  |  2,35178
6  |  1,71129 | 0,0093822     ||  21  |  2,329447
7  |  1,81377 | 7,66179e-05   ||  4   |  2,179659
8  |  7,20971 | 0,023454      ||  32  |  2,01368
9  |  1,47102 | 0,00229057    ||  14  |  1,99219
10 |  0,03511 | 0,0494328     ||  12  |  1,9723
11 |  1,66974 | 0,00355627    ||  17  |  1,96511
12 |  1,9723  | 0,00401       ||  20  |  1,960956
13 |  1,29768 | 0,00580305    ||  34  |  1,92456
14 |  1,99219 | 0,00230749    ||  30  |  1,9006
15 |  1,79065 | 0,0568515     ||  38  |  1,89671
16 |  1,68871 | 0,0014637     ||  29  |  1,89648
17 |  1,96511 | 0,001404      ||  31  |  1,83267
18 |  2,61801 | 0,000498514   ||  7   |  1,813775
19 | 10,3022  | 0,0108658     ||  37  |  1,796056
20 |  1,96095 | 0,000293536   ||  15  |  1,79065
21 |  2,32944 | 0,000441797   ||  25  |  1,78952
22 |  1,39298 | 0,00109255    ||  28  |  1,78355
23 |  1,55501 | 9,85087e-05   ||  3   |  1,757415
24 |  2,35178 | 0,00375925    ||  33  |  1,74344
25 |  1,78952 | 0,00820707    ||  6   |  1,71129
26 |  1,62799 | 9,95037e-07   ||  16  |  1,68871
27 |  1,60054 | 0,00711849    ||  5   |  1,67916
28 |  1,78355 | 0,006015      ||  11  |  1,66974
29 |  1,89648 | 0,00462493    ||  26  |  1,627997
30 |  1,9006  | 0,00471648    ||  27  |  1,60054
31 |  1,83267 | 0,0132011     ||  2   |  1,57168
32 |  2,01368 | 0,00484384    ||  23  |  1,555015
33 |  1,74344 | 0,00163584    ||  9   |  1,47102
34 |  1,92456 | 0,00622495    ||  0   |  1,45243
35 |  3,58048 | 0,000147266   ||  1   |  1,449992
36 |  3,94201 | 0,0145285     ||  22  |  1,39298
37 |  1,79605 | 4,97519e-06   ||  13  |  1,29768
38 |  1,89671 | 0,0041085     ||  10  |  0,03511
