Name,Buy,Sell,Color 1,Color 2,Size,Source,Museum,Version,Interact,Catalog,Filename,Internal ID,Unique Entry ID
acanthostega,-1,2000,Beige,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilFirstFourLegs,4664,LQkRP3kBn3T2jBboF
amber,-1,1200,Yellow,Yellow,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilAmber,294,ANAhATcHWvAGEhRnt
ammonite,-1,1100,Beige,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilAmmonoidea,295,ojNKnr4YRrmPi2gPo
ankylo skull,-1,3500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilAnkylosaurusA,169,QQjxKmQ8Aac9cSoM2
ankylo tail,-1,2500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilAnkylosaurusC,171,wLWBm2R727RC3qSL2
ankylo torso,-1,3000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilAnkylosaurusB,170,5QNzf5buPckabN6cR
anomalocaris,-1,2000,Black,Gray,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilAnomalocaris,4651,TYX964LM2tNZ3SYKC
archaeopteryx,-1,1300,Beige,Brown,1x1,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilArchaeopteryx,298,ky9pkmc2fmK9thuFH
archelon skull,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilArchelonA,177,cYZhXfyNiqZy2hgeM
archelon tail,-1,3500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilArchelonB,178,CtosFxKjG5nzLGi4t
australopith,-1,1100,Beige,Brown,1x1,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilAustralopithecus,301,vE5WQNHepjDb36K6g
brachio chest,-1,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilBrachiosaurusB,4689,FykMyEnM2Xhzd54x8
brachio pelvis,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilBrachiosaurusC,4690,5zCdNszyap3Gs7hZY
brachio skull,-1,6000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilBrachiosaurusA,4688,bECfoiR8RoGTXmqCL
